Altitude,Airspeed,Orbitalspeed
90.8388867592439,0.00202976650006002,174.559071945925
90.8483659123303,0.444144085191787,174.560624999023
90.9449175957125,1.20800334049077,174.556188408646
91.1051170162391,1.87312741021569,174.558008811809
91.4428641333943,2.81467967886713,174.571136146632
91.7648080770159,3.48773621392908,174.580183946372
92.1541244698456,4.16197564684144,174.592755486815
92.6109265416162,4.83719434311102,174.608369172273
93.1353012823965,5.51328729899339,174.626244933659
93.8538805067074,6.32587625424888,174.651201866613
94.6700693458552,7.13988145230794,174.680028554591
95.4249073307728,7.81924902425739,174.707017643277
96.4204757206608,8.63576679937905,174.742916981212
97.325029812404,9.31726118301619,174.775845408929
98.2977897219826,9.99968021426415,174.811498424217
99.3388467705809,10.6830206681596,174.849832277451
100.448297490249,11.3673516948545,174.890979076826
101.626234414754,12.0526236417978,174.934795297039
103.130297932075,12.8761686174706,174.991044302966
104.459244690719,13.5635639995369,175.040952653832
105.856983956764,14.2518606227136,175.093673426121
107.323609635001,14.9411098476492,175.149121545864
109.17462106829,15.769406061118,175.219351488897
110.793127196492,16.4607431628704,175.28084104074
112.826671732939,17.291562394155,175.358380539986
114.597519838368,17.9849579139889,175.42600963371
116.814146681107,18.818308084957,175.51098908829
118.737786570331,19.513774698459,175.584716170811
120.73102643725,20.2101147196925,175.661400990717
123.214924202184,21.0470991933119,175.75694756137
125.799337189295,21.8852922888265,175.856655755518
128.029921672074,22.5848560657193,175.942759087087
130.330512733664,23.2853315317568,176.031682771047
132.701209890074,23.986759347096,176.123530049382
135.142100582365,24.689126630776,176.217976328318
137.653275873745,25.3922484977283,176.315577888721
140.759605572908,26.2374764929883,176.43612093125
143.425748124602,26.9428588310245,176.539758128428
146.162475018413,27.648956771062,176.646210870239
148.969881547731,28.356075229782,176.75558239077
151.848062030971,29.0642506957538,176.867995225692
155.395406041178,29.9151726528397,177.006491066324
158.429593887879,30.6252354009267,177.125178272916
161.534846875933,31.3362301936407,177.246610221251
164.7112455694,32.0480240219519,177.371240394683
168.616989642498,32.9037106930553,177.524111139452
171.950255714124,33.6177267564798,177.655011364737
175.354968305328,34.3324306134542,177.788727773562
178.83122271311,35.0483540623988,177.925574863087
182.379103617859,35.7649830760679,178.065158772887
186.731237445259,36.6258719396046,178.236269074812
191.186812223401,37.4885080689436,178.412160443911
195.745970009244,38.3522137805801,178.591589450931
199.624517445802,39.0728200656682,178.744790032613
203.575201824657,39.7949160210399,178.901360978685
208.411360178841,40.6621587633356,179.0920893596
213.351686261594,41.5307178439118,179.287663501377
218.396306575742,42.4004006704252,179.487850523918
222.679970194818,43.1263385750281,179.657123425802
227.036258231965,43.8531580241023,179.829719006519
232.359804591397,44.7262756508959,180.040822062435
237.788234632812,45.6010021814787,180.256056678234
242.392150994274,46.3305731346293,180.438604118241
248.960344635067,47.3534007749944,180.699457427511
253.739673981909,48.0859449600054,180.889227537913
258.592250176356,48.8186300501794,181.08199779899
264.512133375043,49.6991639569613,181.317079893744
270.537755714147,50.5808241197374,181.556797796712
275.640033877688,51.3165121174271,181.758781161565
281.859940848313,52.2003255773297,182.006642954429
287.124278975767,52.9382572319512,182.215860434091
292.462423148216,53.677020613752,182.427944286928
298.96578740899,54.5643963715528,182.686375732344
304.466647765483,55.3044415267528,182.905407764972
310.041581399855,56.0460940377027,183.12722889861
316.829429038684,56.9361219169495,183.395988323195
323.724236823968,57.8283650018387,183.671296643909
329.55171205278,58.5726293591897,183.901779579352
336.642999200965,59.4664461818597,184.18432390459
342.634402972879,60.2128545858844,184.422559433263
349.922666245373,61.1092752562394,184.712136655281
357.318558869651,62.0064135841387,185.006328982181
363.564114235807,62.7556543711083,185.253465295221
371.157762630726,63.6558374517292,185.555498195319
380.153606785811,64.7062479051928,185.912484256373
386.669350412441,65.4583048587476,186.171362049988
393.260366659146,66.2110313628995,186.433144259798
399.926710543339,66.9648159325682,186.697704342723
408.025872521568,67.8708359884025,187.018009625504
416.233709844877,68.7769084524093,187.3433635001
423.156815335969,69.533776067064,187.618232278699
430.15556681098,70.2905047947844,187.894848644046
437.230125359958,71.0494493474445,188.177407902664
445.819687242853,71.9593791022336,188.51584934803
454.518634346779,72.871658150463,188.861087501341
463.327065472025,73.7844298251045,189.208985337215
472.245177327539,74.6986700229601,189.561601907574
481.273079811013,75.6147241730871,189.918807851584
490.410890835105,76.5302573672437,190.27973886665
499.658798404853,77.4488119195239,190.64581569465
507.449500448769,78.2147539103793,190.952657698669
515.316906155786,78.9814158458777,191.262681672137
523.260958420695,79.7475897690147,191.575995328738
532.895132266101,80.6692810364711,191.954495311853
542.639994992642,81.592804679569,192.338371730701
552.495675024693,82.5169261524912,192.727151992379
562.462281348882,83.4412836474465,193.117289987221
574.230434494908,84.5221402160969,193.5805804097
582.728940920555,85.2951631229553,193.914693436211
593.029181237565,86.2222538740035,194.315454554871
601.69787843246,86.9972277325879,194.65656392419
612.202658901922,87.9281763592163,195.068491049986
622.819069829071,88.8602403853516,195.484434496749
633.547380018397,89.7922980917091,195.90176210271
644.38774543046,90.7264170104729,196.327445345704
653.506983865285,91.5050490895299,196.682661516492
662.704206299852,92.2850505647688,197.041057846475
673.843834697036,93.2225818386605,197.476760913345
683.212782100891,94.00208730653,197.838470511769
692.659910237067,94.785379439667,198.209947872918
702.185344743193,95.5703152434764,198.579038121921
713.719307127176,96.5085956124058,199.026113409151
725.366152788396,97.4527265568029,199.478672879028
735.158338763868,98.2385171555926,199.85746590972
745.029027594486,99.0229554128583,200.241739290905
754.978489731322,99.8105583154017,200.625537028636
