Altitude,Pressure,Airspeed,Q,Cd,Thrust,Accel,Mass,G
96.3945172867971,99.9958572387695,14.9719178742221,0.00101319848751427,33535.1429814263,468.713500976563,15.3384281101326,18.6407928466797,-9.80685841354747
99.0116643008078,99.9570007324219,17.4357307615191,0.00141289583497074,24014.9889622387,468.727630615234,15.3740085401332,18.6148948669434,-9.80677126322072
102.023535795277,99.9122924804688,19.9052594980026,0.00187980386749133,18024.9656535424,468.743927001953,15.4099074707417,18.588996887207,-9.80667120936521
105.431046356331,99.8617324829102,22.380514955453,0.00241424626910716,14015.2326361788,468.762329101563,15.4459489858928,18.5630989074707,-9.80655822254086
109.23511575372,99.8053131103516,24.8615438980621,0.00301653373597651,11201.2973934532,468.782897949219,15.4821685008625,18.537202835083,-9.80643227332114
113.43666529865,99.7430191040039,27.3483063495993,0.0036869508821716,9151.80612751096,468.805572509766,15.5184167744134,18.5113048553467,-9.80629333255328
118.036621338688,99.6748580932617,29.8408596929013,0.00442576195552108,7613.52204299463,468.830322265625,15.5547449805888,18.4854068756104,-9.80614137069723
123.035905247089,99.6008224487305,32.3393066326827,0.00523324345399336,6429.80522288703,468.857269287109,15.5914421845957,18.4595108032227,-9.80597635814321
128.435483336099,99.5209045410156,34.8436610281667,0.00610964886895448,5499.74381384302,468.886322021484,15.6285387456542,18.4336128234863,-9.80579826515988
134.236275092931,99.4351043701172,37.3538802689058,0.00705519117769397,4756.01290586644,468.91748046875,15.6656607089535,18.40771484375,-9.80560706210417
140.439242417109,99.3434219360352,39.8699916279268,0.00807004871423887,4152.15529981782,468.950805664063,15.7027358538834,18.3818168640137,-9.80540271915994
147.045318613411,99.2458572387695,42.3921568561113,0.00915444484684451,3655.19284354236,468.986206054688,15.7402209431996,18.3559188842773,-9.80518520608333
154.055505301105,99.1424102783203,44.9203665963299,0.0103085781483936,3241.36919629446,469.023712158203,15.7782191291972,18.330020904541,-9.80495449284418
161.470740499557,99.0330810546875,47.4546215557653,0.0115325814897382,2893.25776408477,469.063323974609,15.8163226919604,18.3041248321533,-9.80471054870364
169.29198784451,98.9178695678711,49.9949442741549,0.0128265874272225,2597.71646725713,469.105102539063,15.854474128005,18.278226852417,-9.80445334424628
177.52024736302,98.7967758178711,52.5414010842351,0.0141907145908463,2344.69181584474,469.14892578125,15.8928872075238,18.2523288726807,-9.80418284876664
186.156514849747,98.669807434082,55.0941201506224,0.0156251062321688,2126.41168036241,469.194854736328,15.9317827250503,18.226432800293,-9.80389903069242
195.201757993898,98.5369644165039,57.6530376064236,0.0171298560694067,1936.84487097139,469.242858886719,15.9709445882586,18.2005348205566,-9.80360186079174
204.656985193724,98.3982620239258,60.218183837239,0.0187049960610292,1771.21650080152,469.292999267578,16.0101701194386,18.1746368408203,-9.8032913070246
214.523197087226,98.2536926269531,62.789531043163,0.0203505408926001,1625.69775755408,469.345153808594,16.0493053316589,18.148738861084,-9.80296733937971
224.801379648387,98.1032791137695,65.3671070683253,0.0220665106000473,1497.17296632011,469.3994140625,16.0884640474248,18.1228408813477,-9.80262992713477
235.492560628103,97.9470138549805,67.950970217549,0.0238528942642621,1383.0961022554,469.455718994141,16.127890305233,18.0969429016113,-9.80227903993558
246.597699373611,97.7849044799805,70.5411633135166,0.0257097007643396,1281.39657153535,469.514068603516,16.1675203872029,18.0710468292236,-9.80191464730038
258.117858295445,97.6169738769531,73.1377872564203,0.0276369224024309,1190.3422302994,469.574493408203,16.2076082324811,18.0451488494873,-9.80153671628945
270.054098238586,97.4432220458984,75.7409118155292,0.0296345207102195,1108.50292506142,469.636932373047,16.2482189664772,18.019250869751,-9.80114521654146
282.407392721856,97.263671875,78.3506743411356,0.0317025367455751,1034.67758998517,469.701354980469,16.2894058412781,17.9933547973633,-9.80074011709142
295.178836692707,97.0783157348633,80.9669825083169,0.0338408483221884,967.871646373006,469.767791748047,16.3309663718731,17.967456817627,-9.80032138546744
308.369508047006,96.8871765136719,83.589903470778,0.0360493260550681,907.252378737831,469.836303710938,16.3724226592215,17.9415588378906,-9.79988898791821
321.980456447694,96.6902770996094,86.2192991775784,0.0383277947148785,852.09092667455,469.906768798828,16.413680925632,17.9156608581543,-9.79944289506488
336.012596255983,96.4876098632813,88.8550614380678,0.040675902952238,801.779801371862,469.979187011719,16.4543001261078,17.889762878418,-9.79898307645913
350.467105988413,96.2792129516602,91.497456255348,0.0430935402772124,755.737048480606,470.053619384766,16.4951878574504,17.8638648986816,-9.79850949955762
365.345010786434,96.0650939941406,94.1464521464669,0.0455805922600798,713.485338169069,470.130004882813,16.5366334184402,17.8379688262939,-9.79802213526912
380.647338984767,95.8452682495117,96.8020656382268,0.048136790573351,674.635796664909,470.208282470703,16.5782829032223,17.8120708465576,-9.79752094835856
396.375166866346,95.6197509765625,99.4643429737055,0.0507618810751394,638.83798656964,470.288482666016,16.6200900527569,17.7861728668213,-9.79700590952909
412.529555274872,95.3885726928711,102.133422063802,0.0534556688471102,605.77511185767,470.370635986328,16.6623098346055,17.7602767944336,-9.79647698888754
429.111650809762,95.151741027832,104.809332339007,0.0562179052542936,575.17323384343,470.454681396484,16.7050970200294,17.7343788146973,-9.79593415003522
446.122426976915,94.9092864990234,107.492042663236,0.0590483368925794,546.80831022726,470.540618896484,16.7480027562875,17.7084808349609,-9.79537736381732
463.563033048296,94.6612243652344,110.181706568066,0.0619465465569995,520.462525128764,470.628448486328,16.7913431576866,17.6825828552246,-9.79480659596696
