Time,Altitude
1130.22188232422,128366.572569502
1131.22188232422,125119.101257116
1132.22188232422,124949.941002398
1133.22188232422,124780.670835624
1134.22188232422,124611.29070741
1135.22188232422,124441.800737179
1136.22188232422,124272.20108486
1137.24188232422,124099.096595356
1138.24188232422,123929.275866687
1139.26188232422,123755.946231958
1140.28188232421,123582.503107665
1141.30188232421,123408.94659007
1142.32188232421,123235.276853677
1143.34188232421,123061.494084945
1144.36188232421,122887.598524646
1145.36188232421,122717.003337692
1146.38188232421,122542.884805404
1147.40188232421,122368.653841025
1148.42188232421,122194.310769434
1149.46188232421,122016.433799669
1150.48188232421,121841.864561931
1151.4818823242,121670.609843545
1152.4818823242,121499.247939994
1153.4818823242,121327.77897819
1154.4818823242,121156.203082329
1155.49043945311,120983.480016421
1156.50075195311,120812.904423123
1157.54075195311,120634.094544929
1158.54075195311,120462.053587235
1159.5807519531,120283.018379895
1160.5807519531,120110.761102671
1161.6207519531,119931.501301819
1162.6207519531,119759.028365498
1163.6207519531,119586.449959882
1164.6207519531,119413.766226187
1165.6207519531,119240.977329472
1166.6207519531,119068.083431857
1167.6607519531,118888.162569697
1168.7007519531,118708.128441704
1169.70075195309,118534.912112468
1170.74075195309,118354.656437721
1171.78075195309,118174.288071397
1172.78075195309,118000.750792318
1173.82075195309,117820.16187638
1174.86075195309,117639.46075584
1175.90075195309,117458.647633084
1176.94075195309,117277.722723736
1177.98075195309,117096.686148437
1178.98075195309,116922.507410863
1180.02075195309,116741.252369769
1181.10075195308,116552.908376189
1182.18075195308,116364.444775479
1183.18075195308,116189.834933944
1184.26075195308,116001.141511074
1185.26075195308,115826.319231795
1186.34075195308,115637.396717324
1187.42075195308,115448.355559127
1188.42075195308,115273.21185692
1189.46075195308,115090.954824153
1190.50075195308,114908.588325771
1191.50075195308,114733.132858116
1192.50075195307,114557.576483308
1193.58075195307,114367.862450906
1194.66075195307,114178.031144784
1195.66075195307,114002.157012176
1196.70075195307,113819.141588737
1197.70075195307,113643.063163564
1198.74075195307,113459.835630888
1199.82075195307,113269.446722634
1200.86075195307,113085.999506881
1201.86075195307,112909.506571838
1202.94075195306,112718.782768345
1203.98075195306,112535.013613141
1205.06075195306,112344.06322339
1206.10075195306,112160.076256729
1207.18075195306,111968.9000723
1208.22075195306,111784.696064585
1209.26075195306,111600.385840284
1210.34075195306,111408.874551281
1211.38075195306,111224.348415055
1212.42075195306,111039.716631019
1213.46075195306,110854.979394938
1214.50075195305,110670.136871192
1215.54075195305,110485.189266026
1216.58075195305,110300.136741993
1217.66075195305,110107.855973179
1218.74075195305,109915.46248909
1219.74075195305,109737.22003121
1220.78075195305,109551.745727647
1221.82075195305,109366.167442292
1222.82075195305,109187.628903476
1223.90075195305,108994.69968675
1224.94075195304,108808.81057889
1225.94075195304,108629.973697477
1226.94075195304,108451.041535819
1228.02075195304,108257.687970281
1229.06075195304,108071.390988524
1230.06075195304,107892.162612484
1231.10075195304,107705.664751849
1232.14075195304,107519.064757122
1233.22075195304,107325.179938354
1234.26075195304,107138.372326033
1235.26075195304,106958.653839545
1236.30075195303,106771.647180428
1237.34075195303,106584.539322848
1238.38075195303,106397.330454341
1239.42075195303,106210.020761116
1240.46075195303,106022.610432347
1241.46075195303,105842.313463971
1242.54075195303,105647.488620812
1243.58075195303,105459.777513179
1244.62075195303,105271.966519354
1245.66075195303,105084.055830504
1246.70075195302,104896.045635314
1247.74075195302,104707.936125276
1248.74075195302,104526.96810913
1249.78075195302,104338.664329716
